2017-12-07 00:00:00	BBCNEWS	30	BBCNEWS_20171207_000000_	US RECOGNISES JERUSALEM\nAUSTRALIA ABUSE TRIAL
2017-12-07 00:00:00	CNNW	14	CNNW_20171206_230000_Situation_Room_With_Wolf_Blitzer/start/3600	TRUMP JR. TELLS HOUSE PANEL HE DID NOT SPEAK DIRECTLY TO HIS. FATHER ON RESPONSE TO REPORTS ABOUT TRUMP TOWER RUSSIA MEETING\nBREAKING NEWS I\nTRUMP JR REFUSES TO DETAIL CONVERSATION WITH HIS FATHER. ABOUT TRUMP TOWER MEETING WITH RUSSIAN LAWYER
2017-12-07 00:00:00	FOXNEWSW	41	FOXNEWSW_20171206_230000_Special_Report_With_Bret_Baier/start/3600	TRUMP DECLARES JERUSALEM. AS THE CAPITAL OF ISRAEL
2017-12-07 00:00:00	MSNBCW	16	MSNBCW_20171206_230000_The_Beat_With_Ari_Melber/start/3600	BANNON BLASTS ROMNEY AT ROY MOORE RALLY\nAT LEAST 2O SENATE DEMS CALL FOR FRANKEN\u2019S RESIGNATION
2017-12-07 00:01:00	BBCNEWS	10	BBCNEWS_20171207_000000_Newsday/start/60	TRUMP RECOGNISES JERUSALEM. President Trump says 'Jerusalem is Israel's capital'\nTRUMP RECOGNISES JERUSALEM. Decision ovenurns decades of United States policy\nTRUMP RECOGNISES JERUSALEM. President says 'US embassy...
2017-12-07 00:01:00	CNNW	62	CNNW_20171207_000000_Erin_Burnett_OutFront/start/60	TRUMP JR REFUSES TO DETAIL CONVERSATION WITH HIS FATHER. ABOUT TRUMP TOWER MEETING WITH RUSSIAN LAWYER
2017-12-07 00:01:00	MSNBCW	31	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/60	BANNON QUESTIONS ROMNEY'S \"HONOR AND INTEGRITY\"\nSTEVE BANNON I E\u2019Jf\u00e9\ufb02'ig\ufb02'l'\u00e9\ufb01ff
2017-12-07 00:02:00	BBCNEWS	17	BBCNEWS_20171207_000000_Newsday/start/120	TRUMP RECOGNISES JERUSALEM. Trump says Vice President Pence to visit Middle East\nTRUMP RECOGNISES JERUSALEM. Trump says US 'prepared to back two-state solution'\nTRUMP RECOGNISES JERUSALEM. Abbas: Demolition oi all...
2017-12-07 00:02:00	FOXNEWSW	41	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/120	TRUMP DECLARES JERUSALEM. AS THE CAPITAL OF ISRAEL\nPOPE FRANCIS. TODAY\nDPE WEIGHS IN ON JERUSALEM DECISION I
2017-12-07 00:02:00	MSNBCW	26	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/120	\"THE HUGH HEWITT SHOW\
2017-12-07 00:03:00	BBCNEWS	10	BBCNEWS_20171207_000000_Newsday/start/180	TRUMP RECOGNISES JERUSALEM. Hamas calls announcement 'flagrant aggression'\nTRUMP RECOGNISES JERUSALEM. President Trump says 'Jerusalem is Israel's capital\u201c\nTRUMP RECOGNISES JERUSALEM. Decision overturns...
