2018-01-04 00:00:00	BBCNEWS	24	BBCNEWS_20180104_000000_	TRUMP VS BANNON\nRIVER OF PLASTIC\nON THE LINE
2018-01-04 00:00:00	CNNW	19	CNNW_20180103_230000_Situation_Room_With_Wolf_Blitzer/start/3600	TRUMP DOWNPLAYS BANNON'S INFLUENCE AFTER HIS EX-TOP AIDE. CALLS TRUMP TOWER MEETING WITH RUSSIANS \"TREASONOUS\
2018-01-04 00:00:00	FOXNEWSW	14	FOXNEWSW_20180103_230000_Special_Report_With_Bret_Baier/start/3600	IC BATTLE BREWING BETWEEN TRUMP AND BANNON I\nNYT: SOME POLITICAL OPERATIVES OFFERING. MONEY TO PUSH SEXUAL HARASSMENT CLAIMS\nNEW REPORTS OF POLITICAL INVOLVEMENT. BEHIND SOME...
2018-01-04 00:01:00	BBCNEWS	5	BBCNEWS_20180104_000000_Newsday/start/60	EXTREME WEATHER FORECAST
2018-01-04 00:01:00	FOXNEWSW	25	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/60	'T: DAVID BROCK SPENT MONEY ON EFFORT TO BRING. ISCONDUCT ALLEGATIONS FORWARD AGAINST TRUMP\nRPT: CLINTON BACKERS PAID LISA BLOOM TO HELP. ING SEXUAL ASSAULT ALLEGATIONS PUBLIC AGAINST TRUMP\nNYT: SOME POLITICAL OPERATIVES...
2018-01-04 00:01:00	MSNBCW	12	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/60	RWATAKHMETSHW PHOTO:. HERMVTAGE CAPITAL MANAGEMENT
2018-01-04 00:02:00	BBCNEWS	13	BBCNEWS_20180104_000000_Newsday/start/120	'. NEWSDAV _1e:O2\nSARAH SANDERS. White House Press Secretary
2018-01-04 00:02:00	CNNW	62	CNNW_20180104_000000_Erin_Burnett_OutFront/start/120	WH: TRUMP \"FURIOUS, DISGUSTED\" OVER BANNON'S BOMBSHELL CLAIMS
2018-01-04 00:02:00	FOXNEWSW	14	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/120	NYT REPORTER ON THE POLITICS BEHIND. SEXUAL HARASSMENT CLAIMS\nNYT REPORTER ON THE POLITICS BEHIND. cnmm HApAchFNT ('l AIMQ __#
2018-01-04 00:02:00	MSNBCW	30	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/120	BANNON UNLOADS ON TRUMP, FAMILY IN NEW BOOK
2018-01-04 00:04:00	BBCNEWS	3	BBCNEWS_20180104_000000_Newsday/start/240	NEWBDAY
2018-01-04 00:04:00	CNNW	40	CNNW_20180104_000000_Erin_Burnett_OutFront/start/240	TRUMP SAYS BANNON \"NOT ONLY LOST HIS JOB, HE LOST HIS MIND; COMES AFTER. BANNON CALLS TRUMP TOWER MEETING WITH RUSSIANS \"TREASONOUS\"\nSOURCES: TRUMP PRIVATELY SAYING HE'S DONE WITH BANNON
2018-01-04 00:04:00	FOXNEWSW	14	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/240	NYT: SOME POLITICAL OPERATIVES OFFERING. MONEY TO PUSH SEXUAL HARASSMENT CLAIMS\nNYT: SOME POLITICAL OPERATIVES OFFERING. MnMFv Tn Duel-I CFYIIAI HADAQQMFNT ('I AIM: .\u2014
2018-01-04 00:05:00	BBCNEWS	5	BBCNEWS_20180104_000000_Newsday/start/300	NEWSDAV
