2018-01-11 00:00:00	BBCNEWS	26	BBCNEWS_20180111_000000_	SEARCH FOR MH37O RESUMES\nCALIFORNIA MUDSLIDES
2018-01-11 00:00:00	CNNW	12	CNNW_20180110_230000_Situation_Room_With_Wolf_Blitzer/start/3600	TRUMP REFUSES TO COMMIT TO INTERVIEW WITH SPECIAL COUNSEL\nGOP REP. ISSA TO RETIRE BOOSTING DEMS' HOPES OF GAINS IN CALIF. . Miguel Marquez (N\\I National Correspondent\nGOP REP. ISSA TO RETIRE...
2018-01-11 00:01:00	BBCNEWS	22	BBCNEWS_20180111_000000_Newsday/start/60	V. NEWSDAV\nCOPING WITH LONELINESS\nRELIGIOUS FREEDOM IN CHINA
2018-01-11 00:01:00	CNNW	36	CNNW_20180111_000000_Erin_Burnett_OutFront/start/60	TRUMP DENIES \"COLLUSION\" WITH RUSSIA 8 TIMES IN 95 SECONDS\nTRUMP REFUSES TO COMMIT TO INTERVIEW WITH SPECIAL COUNSEL\nTRUMP WON'T COMMIT TO INTERVIEW WITH MUELLER; TWEETS ABOUT. RUSSIA PROBE,...
2018-01-11 00:01:00	FOXNEWSW	29	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/60	{UMP SLAMS FEINSTEIN FOR FUSION GPS LEAK _\n{UMP ON MUELLER INTERVIEW: \"WE'LL SEE\" I\n{UMP ON MUELLER INTERVIEW: \"WE'LL SEE\
2018-01-11 00:03:00	FOXNEWSW	43	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/180	.UMP REMAINS UNWAVERING ON BUILDING THE WALL I\nNE-ON-ONE WITH VICE PRESIDENT PENCE I\nIMIGRATION NEGOTIATIONS HEATING UP ON HILL i
2018-01-11 00:03:00	MSNBCW	11	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/180	CARDIN: TRUMP \"BARELY ACKNOWLEDGES\" PUTIN'S. \"DFDFATFD A1TACKS\"ON DFMOCDATIC INSTITUTIONS\nSEN. BEN CARDIN I (D-MD) FOREIGN RELATIONS CMTE.
2018-01-11 00:04:00	BBCNEWS	3	BBCNEWS_20180111_000000_Newsday/start/240	NEWSDAY
2018-01-11 00:04:00	CNNW	49	CNNW_20180111_000000_Erin_Burnett_OutFront/start/240	TRUMP REFUSES TO COMMIT TO INTERVIEW WITH SPECIAL COUNSEL\nTRUMP REFUSES TO COMMIT TO INTERVIEW WITH SPECIAL COUNSEL. . Jeff Zelenv OW Senior White House Correspondent\nTRUMP DENIES \"COLLUSION\"...
2018-01-11 00:04:00	FOXNEWSW	62	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/240	NE-ON-ONE WITH VICE PRESIDENT PENCE I
2018-01-11 00:05:00	CNNW	39	CNNW_20180111_000000_Erin_Burnett_OutFront/start/300	TRUMP DENIES \"COLLUSION\" WITH RUSSIA 8 TIMES IN 95 SECONDS\nTRUMP DENIES \"COLLUSION\" WITH RUSSIA 8 TIMES IN 95 SECONDS. . John Dean Former Nixon White House Counsel
2018-01-11 00:05:00	MSNBCW	38	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/300	FIRM CO-FOUNDER: SOMEONE FROM TRUMP. CAMPAIGN Al so WFNT Tn FRI WITH CONCFDNS\nTOP SENATE DEMOCRAT DEFIES GOP, RELEASES. KFV TFSTIMONY ON TRUMP-RUSSIA DOSSIFD
2018-01-11 00:06:00	BBCNEWS	17	BBCNEWS_20180111_000000_Newsday/start/360	PAKISTAN JOURNALIST ABDUCTION. Taha Siddiqui escaped attack by armed men\nCHINA TANKER EXPLOSION. Rescue teams retreat after an explosion on the ship\nFRENCH LETTER FROM DENEUVE. Men should be \"iree to hit on\"...
2018-01-11 00:06:00	FOXNEWSW	44	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/360	ENCE: AMERICAN PEOPLE WANT US TO BUILD WALL I\nNE-ON-ONE WITH VICE PRESIDENT PENCE I\nPENCE ON JUDGE BARRING DACA ROLL BACK:. \"THIS DECISION HAS TO BE MADE BY CONGRESS\
