2018-01-13 00:00:00	BBCNEWS	39	BBCNEWS_20180113_000000_	IRAN NUCLEAR DEAL
2018-01-13 00:00:00	CNNW	11	CNNW_20180112_230000_Situation_Room_With_Wolf_Blitzer/start/3600	TRUMP ADMIN REVIEWING POLICY ON ELEPHANT TROPHIES FROM AFRICA\nTRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\
2018-01-13 00:00:00	MSNBCW	11	MSNBCW_20180112_230000_The_Beat_With_Ari_Melber/start/3600	TRUMP MEDICAL BRIEFING ON TUESDAY\nTRUMP DOCTOR: PRESIDENT IN \"EXCELLENT HEALTH\
2018-01-13 00:02:00	CNNW	31	CNNW_20180113_000000_Erin_Burnett_OutFront/start/120	SENATOR CONFIRMS TRUMP'S REMARK ABOUT \"SHITHOLE COUNTRIES\"\nSENATOR IN THE ROOM FOR MEETING: TRUMP SAYS HE. DIDN'T USE \"VILE AND RACIST\" LANGUAGE. \"IT'S NOT TRUE\"\nTRUMP SAYS \"WE ARE ALL CREATED...
2018-01-13 00:02:00	FOXNEWSW	27	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/120	{UMP DENIES SAYING \"S***HOLE\" IN MEETING I\nPARTISAN PRAISE FOR TRUMP IMMIGRATION MTG I\nDR. RONNIE JACKSON. TODAY\nTRUMP UNDER FIRE FOR LANGUAGE USED. IN CLOSED DOOR IMMIGRATION...
2018-01-13 00:02:00	MSNBCW	27	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/120	DURBIN: TRUMP USED THAT WORD. NOT JUST ONCF, Rl IT DFDFATFDI v
2018-01-13 00:03:00	CNNW	62	CNNW_20180113_000000_Erin_Burnett_OutFront/start/180	SENATOR IN THE ROOM FOR MEETING: TRUMP SAYS HE. DIDN'T USE \"VILE AND RACIST\" LANGUAGE. \"IT'S NOT TRUE\
2018-01-13 00:03:00	FOXNEWSW	28	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/180	TRUMP UNDER FIRE FOR LANGUAGE USED. IN CLOSED DOOR IMMIGRATION MEETING\nEPORTERS SHOUT \"ARE YOU A RACIST?\" AT TRUMP I\n{UMP IGNORES QUESTIONS AT MLK SPEECH I
2018-01-13 00:03:00	MSNBCW	31	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/180	TRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE
2018-01-13 00:05:00	BBCNEWS	11	BBCNEWS_20180113_000000_BBC_News/start/300	IRAN NUCLEAR DEAL. Donald Trump does not re-impose sanctions
2018-01-13 00:05:00	FOXNEWSW	37	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/300	TRUMP UNDER FIRE FOR LANGUAGE USED. IN CLOSED DOOR IMMIGRATION MEETING\nMOTHER WHOSE CHILD WAS KILLED BY ILLEGAL. IMMIGRANT REACTS TO TRUMP COMMENTS
