2018-01-27 00:00:00	BBCNEWS	4	BBCNEWS_20180127_000000_	later,\
2018-01-27 00:01:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/60	later,\
2018-01-27 00:01:00	CNNW	62	CNNW_20180127_000000_Erin_Burnett_OutFront/start/60	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE
2018-01-27 00:02:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/120	later,\
2018-01-27 00:02:00	CNNW	35	CNNW_20180127_000000_Erin_Burnett_OutFront/start/120	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT HIS PATI'ERN OF PRESSURING OFFICIALS\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE
2018-01-27 00:02:00	FOXNEWSW	15	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/120	AISMAN TO NASSAR: YOU ARE SO SICK. . \\ 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nEW FALLOUT FROM lARRY NASSAR'S SEXUAL ABUSE\n5A GYMNASTICS ROCKED BY ABUSE SCANDAL. . Th thnn-w\ufb02f'nvn an\": nnm\n5U MARCH SUPPORTING...
2018-01-27 00:02:00	MSNBCW	29	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/120	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE\nTRUMP DENIES CONSIDERING FIRING MUELLER
2018-01-27 00:03:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/180	later,\
2018-01-27 00:03:00	MSNBCW	59	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/180	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:04:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/240	later,\
2018-01-27 00:04:00	MSNBCW	17	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/240	SOURCE: WH COUNSEL THREATENED TO RESIGN. OVER TRUMP'S A1TEMPT TO FIRE MUELLER
2018-01-27 00:05:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/300	later,\
2018-01-27 00:05:00	CNNW	49	CNNW_20180127_000000_Erin_Burnett_OutFront/start/300	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT POSSIBLE OBSTRUCTION OF JUSTICE\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. AND QUESTIONS ABOUT HIS PATI'ERN OF PRESSURING OFFICIALS
2018-01-27 00:05:00	MSNBCW	30	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/300	SOURCE: WH COUNSEL THREATENED TO RESIGN. OVER TRUMP\u2019S A1'I'EMPT TO FIRE MUELLER\nSOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:06:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/360	later,\
2018-01-27 00:06:00	FOXNEWSW	20	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/360	OLD MEDAL GYMNAST ON ABUSE WITHIN SPORT 7,:\nOLD MEDAL GYMNAST ON ABUSE WITHIN SPORT 7;\nt\u00bb DOMINIQUE MOCEANU I OLYMPIC GOLD MEDALIST. . GOLD MEDAL GYMNAST DOMINIQUE MOCEANU. uvc...
2018-01-27 00:07:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/420	later,\
2018-01-27 00:07:00	CNNW	39	CNNW_20180127_000000_Erin_Burnett_OutFront/start/420	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. . Tim Naftali Former Director, Nixon Presidential Library\nTRUMP RETURNS TO WHITE...
2018-01-27 00:07:00	FOXNEWSW	25	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/420	OLD MEDAL GYMNAST ON ABUSE WITHIN SPORT 7;,\nOLD MEDAL GYMNAST ON ABUSE WITHIN SPORT. . \\ 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nOLD MEDAL GYMNAST ON ABUSE WITHIN SPORT 7;
2018-01-27 00:07:00	MSNBCW	62	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/420	SOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE
2018-01-27 00:08:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/480	later,\
2018-01-27 00:09:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/540	later,\
2018-01-27 00:09:00	CNNW	35	CNNW_20180127_000000_Erin_Burnett_OutFront/start/540	TRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL. . April Rvan WH Correspondent, American Urban Radio Networks\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL
2018-01-27 00:09:00	FOXNEWSW	17	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/540	GOLD MEDAL GYMNAST DOMINIQUE MOCEANU. WEIGHS IN ON SEXUAL ABUSE SCANDAL. . 'T'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nGOLD MEDAL GYMNAST DOMINIQUE MOCEANU. WEIGHS IN ON SEXUAL ABUSE SCANDAL. . W'hn\ufb02i'nww\ufb02f'nvn nun: nnm \\\nGOLD MEDAL GYMNAST...
