source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secretary Mattis what he needs to keep America Great. Republicans and Democrats must support our troops and support this Bill!,02-07-2018 22:36:15,23259,108380,false,961368036782628864
Media Studio,Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean people have built is truly an inspiration! https://t.co/giN2B1h6Ph,02-07-2018 22:13:16,13280,69412,false,961362249880252416
Media Studio,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that you are a truly GREAT NATION! https://t.co/aboM2Up48y,02-07-2018 18:01:05,12737,64460,false,961298788219420672
Twitter for iPhone,NEW FBI TEXTS ARE BOMBSHELLS!,02-07-2018 16:10:00,40103,137462,false,961270833569202176
Twitter for iPhone,In the “old days” when good news was reported the Stock Market would go up. Today when good news is reported the Stock Market goes down. Big mistake and we have so much good (great) news about the economy!,02-07-2018 14:59:49,22038,111708,false,961253168968622086
Twitter for iPhone,Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement along with @NASA’s commercial and international partners continues to show American ingenuity at its best! https://t.co/eZfLSpyJPK,02-07-2018 03:05:45,31724,166325,false,961073467784421382
Twitter for iPhone,HAPPY BIRTHDAY to our 40th President of the United States of America Ronald Reagan! https://t.co/JtEglBhm4c,02-07-2018 00:48:01,33062,180337,false,961038807658352640
Media Studio,Today we heard the experiences of law enforcement professionals and community leaders working to combat the threat of MS-13 and the reforms we need from Congress to defeat it. Watch here: https://t.co/VPMTnko7Ik https://t.co/4OaXXuj9Va,02-06-2018 22:45:50,18460,75310,false,961008057756127232
Twitter for iPhone,We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs that hurt our economic and national security. https://t.co/rP9Gtr2E5N,02-06-2018 16:05:42,25767,92021,false,960907362109452288
Twitter for iPhone,Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA fully secures the border ends chain migration &amp; cancels the visa lottery. If D’s oppose this deal they aren’t serious about DACA-they just want open borders. https://t.co/XDMcDOr9vM,02-06-2018 16:00:43,23700,88974,false,960906105982464000
Twitter for iPhone,My prayers and best wishes are with the family of Edwin Jackson a wonderful young man whose life was so senselessly taken. @Colts,02-06-2018 13:37:00,21046,104022,false,960869939694505984
Twitter for iPhone,So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of many such preventable tragedies. We must get the Dems to get tough on the Border and with illegal immigration FAST!,02-06-2018 13:32:57,36315,142323,false,960868920428253184
Twitter for iPhone,Thanks to the historic TAX CUTS that I signed into law your paychecks are going way UP your taxes are going way DOWN and America is once again OPEN FOR BUSINESS! https://t.co/GISFbDDGXX,02-05-2018 20:42:01,22932,105348,false,960614513224667136
Twitter for iPhone,Representative Devin Nunes a man of tremendous courage and grit may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!,02-05-2018 15:08:51,35991,133382,false,960530665702912000
Twitter for iPhone,Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of time. March 5th is rapidly approaching and the Dems seem not to care about DACA. Make a deal!,02-05-2018 14:36:40,30148,122895,false,960522569492426753
Twitter for iPhone,Little Adam Schiff who is desperate to run for higher office is one of the biggest liars and leakers in Washington right up there with Comey Warner Brennan and Clapper! Adam leaves closed committee hearings to illegally leak confidential information. Must be stopped!,02-05-2018 12:39:10,43329,141983,false,960492998734868480
Twitter for iPhone,Thank you to @foxandfriends for exposing the truth. Perhaps that’s why your ratings are soooo much better than your untruthful competition!,02-05-2018 12:17:57,22931,107227,false,960487657691385856
Twitter for iPhone,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working. Dems want to greatly raise taxes for really bad and non-personal medical care. No thanks!,02-05-2018 12:11:56,30847,120572,false,960486144818450432
Twitter for iPhone,Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,02-05-2018 03:54:42,36525,212128,false,960361010904338432
Twitter for iPhone,My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Thank you to our incredible First Responders for the work they’ve done!,02-04-2018 16:58:14,23241,141638,false,960195808141414400
Twitter for iPhone,...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants the FBI to be a nonpartisan enforcer of the law....The FBI wasn’t straight with Congress as it hid most of these facts from investigators.” Wall Street Journal,02-04-2018 00:53:18,36013,130668,false,959952974826098688
Twitter for iPhone,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used to influence the 2016 election and its aftermath....The FBI failed to inform the FISA court that the Clinton campaign had funded the dossier....the FBI became....,02-04-2018 00:40:24,37107,130529,false,959949725028974592
Twitter for iPhone,Great jobs numbers and finally after many years rising wages- and nobody even talks about them. Only Russia Russia Russia despite the fact that after a year of looking there is No Collusion!,02-04-2018 00:26:23,30287,135858,false,959946200488271872
Twitter for iPhone,This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because after one year of looking endlessly and finding NOTHING collusion is dead). This is an American disgrace!,02-03-2018 14:40:27,39383,141796,false,959798743842349056
Twitter for iPhone,Rasmussen just announced that my approval rating jumped to 49% a far better number than I had in winning the Election and higher than certain “sacred cows.” Other Trump polls are way up also. So why does the media refuse to write this? Oh well someday!,02-03-2018 14:40:23,35045,156479,false,959798726381457409
Twitter for iPhone,RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/CJts3udtNO,02-03-2018 13:44:19,12746,0,true,959784619712401410
Twitter for iPhone,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/iszxYp036c,02-03-2018 13:39:49,12324,0,true,959783486289793024
Twitter for iPad,Today it was my honor to join the great men and women of @DHSgov @CustomsBorder @ICEgov and @USCIS at the U.S. Customs and Border Protection National Targeting Center in Sterling Virginia. Fact sheet: https://t.co/Q027Wgdzdo https://t.co/NecuA0y1Sk,02-02-2018 22:26:22,14641,70761,false,959553606134345728
Twitter for iPad,“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,02-02-2018 18:07:08,17672,77458,false,959488369293254658
Twitter for iPad,With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS 2018 is off to great start!✅Unemployment rate at 4.1%.✅Average earnings up 2.9% in the last year.✅200000 new American jobs.✅#MAGA🇺🇸 https://t.co/upqSvBhRqJ,02-02-2018 18:05:49,27622,107951,false,959488037766955009
Twitter for iPhone,“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly by all accounts to spy on the Trump Team.” Tom Fitton JW,02-02-2018 11:49:14,52215,161768,false,959393270144086016
Twitter for iPhone,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank &amp; File are great people!,02-02-2018 11:33:58,40493,139292,false,959389424806191104
Twitter for iPhone,The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast or they’ll disappoint you again. We have a great chance to make a deal or blame the Dems! March 5th is coming up fast.,02-02-2018 03:32:48,28868,124175,false,959268334935203840
Twitter for iPhone,Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched the highest number in history. @FoxNews beat every other Network for the first time ever with 11.7 million people tuning in. Delivered from the heart!,02-01-2018 12:02:49,37409,184824,false,959034299222843394
Twitter for iPhone,March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist Blame Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix NOW!,02-01-2018 11:51:43,29928,123386,false,959031505145212928
Twitter for iPhone,Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in ‘18.,02-01-2018 11:43:17,28505,138054,false,959029384052166657
Twitter for iPhone,Join me live for the #SOTUhttps://t.co/0SLktWxfHi,01-31-2018 02:00:02,22050,109033,false,958520216429957121
Twitter for iPhone,Congratulations to America’s new Secretary of @HHSGov Alex Azar! https://t.co/Y9inQaCt7o,01-29-2018 20:12:39,16433,84146,false,958070403901124609
Twitter for iPhone,Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Chrysler as an example is leaving Mexico and coming back to the USA. Unemployment is nearing record lows. We are on the right track!,01-28-2018 13:18:33,42386,199837,false,957603804383465472
Twitter for iPhone,Somebody please inform Jay-Z that because of my policies Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!,01-28-2018 13:18:32,64228,240625,false,957603800579297280
Twitter for iPhone,Democrats are not interested in Border Safety &amp; Security or in the funding and rebuilding of our Military. They are only interested in Obstruction!,01-28-2018 04:08:02,36020,157497,false,957465263129219073
Twitter for iPhone,I have offered DACA a wonderful deal including a doubling in the number of recipients &amp; a twelve year pathway to citizenship for two reasons: (1) Because the Republicans want to fix a long time terrible problem. (2) To show that Democrats do not want to solve DACA only use it!,01-28-2018 03:58:02,47102,175933,false,957462746060206080
Twitter for iPhone,Taliban targeted innocent Afghans brave police in Kabul today. Our thoughts and prayers go to the victims and first responders. We will not allow the Taliban to win!,01-27-2018 22:59:52,22170,114331,false,957387711693905925
Twitter for iPhone,On Holocaust Remembrance Day we mourn and grieve the murder of 6 million innocent Jewish men women and children and the millions of others who perished in the evil Nazi Genocide. We pledge with all of our might and resolve: Never Again! https://t.co/PfHM7UiZ0C https://t.co/25W0SZHTOu,01-27-2018 19:30:24,26009,107946,false,957334999522533376
Twitter for iPhone,Thank you to Brandon Judd of the National Border Patrol Council for his strong statement on @foxandfriends that we very badly NEED THE WALL. Must also end loophole of “catch &amp; release” and clean up the legal and other procedures at the border NOW for Safety &amp; Security reasons.,01-27-2018 11:55:58,29295,124451,false,957220637705109505
Twitter for iPhone,Thank you for the wonderful welcome @WEF! #Davos2018 https://t.co/IQkoQJxR5B,01-26-2018 23:27:23,16410,72370,false,957032249509097472
Twitter for iPhone,DACA has been made increasingly difficult by the fact that Cryin’ Chuck Schumer took such a beating over the shutdown that he is unable to act on immigration!,01-26-2018 17:16:44,26420,119667,false,956938973326098432
Twitter for iPhone,Heading back from a very exciting two days in Davos Switzerland. Speech on America’s economic revival was well received. Many of the people I met will be investing in the U.S.A.! #MAGA,01-26-2018 17:12:32,22701,112362,false,956937916374138880
Twitter for iPhone,Join me live at the 2018 World Economic Forum in Davos Switzerland! #WEF18 https://t.co/fdHejCmv73 https://t.co/DuKJlVTWB8,01-26-2018 12:54:36,10138,52391,false,956873004776116225
Twitter for iPhone,Great bilateral meeting with President @Alain_Berset of the Swiss Confederation - as we continue to strengthen our great friendship. Such an honor to be in Switzerland! #WEF18 https://t.co/87pLrCpQkZ,01-26-2018 11:23:07,10793,55847,false,956849981528379392
Twitter for iPhone,It was an honor to meet with Republic of Rwanda President Paul Kagame this morning in Davos Switzerland. Many great discussions! #WEF18 https://t.co/SaPzwVhDiB,01-26-2018 10:46:48,12518,63669,false,956840839627595776
Twitter for iPhone,Will be interviewed on  @SquawkCNBC by @JoeSquawk coming up at 6:00amE from Davos Switzerland. Enjoy! #WEF18 https://t.co/7egYlxnFBd,01-26-2018 10:11:26,6599,36686,false,956831942351183873
Twitter for iPhone,Today Americans everywhere remember the brave men and women of @NASA who lost their lives in our Nation’s eternal quest to expand the boundaries of human potential. https://t.co/clBsJTGz8B https://t.co/jTJkusdBQA,01-25-2018 22:38:21,17835,84247,false,956657520562573312
Twitter for iPhone,Very productive bilateral meeting with Prime Minister Benjamin @Netanyahu of Israel - in Davos Switzerland! #WEF18 https://t.co/2sZM9YI7tJ,01-25-2018 18:03:29,15223,73035,false,956588348864454656
